,track_name,artist,album,popularity,duration_minutes
0,Blinding Lights,The Weeknd,After Hours,90,3.33
1,Shape of You,Ed Sheeran,÷ (Deluxe),90,3.9
2,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,88,3.04
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),84,2.63
4,Starboy,The Weeknd,Starboy,91,3.84
5,As It Was,Harry Styles,As It Was,19,2.79
6,One Dance,Drake,Views,88,2.9
7,STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3: OVER YOU,13,2.36
8,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,76,3.49
9,Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),18,3.98
10,Perfect,Ed Sheeran,÷ (Deluxe),90,4.39
11,Closer,The Chainsmokers,Closer,89,4.08
12,lovely (with Khalid),Billie Eilish,lovely (with Khalid),89,3.34
13,High Hopes,Panic! At The Disco,Pray for the Wicked,82,3.18
14,Señorita,Shawn Mendes,Señorita,80,3.18
15,Watermelon Sugar,Harry Styles,Fine Line,86,2.9
16,Don't Start Now,Dua Lipa,Don't Start Now,76,3.05
17,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,86,4.0
18,Mr. Brightside,The Killers,Hot Fuss,65,3.7
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),84,2.63
20,Shape of You,Ed Sheeran,÷ (Deluxe),90,3.9
21,Blinding Lights,The Weeknd,After Hours,90,3.33
22,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,88,3.04
23,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),84,2.63
24,Starboy,The Weeknd,Starboy,91,3.84
25,As It Was,Harry Styles,As It Was,19,2.79
26,One Dance,Drake,Views,88,2.9
27,STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3: OVER YOU,13,2.36
28,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,76,3.49
29,Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),18,3.98
30,Perfect,Ed Sheeran,÷ (Deluxe),90,4.39
31,Closer,The Chainsmokers,Closer,89,4.08
32,lovely (with Khalid),Billie Eilish,lovely (with Khalid),89,3.34
33,High Hopes,Panic! At The Disco,Pray for the Wicked,82,3.18
34,Señorita,Shawn Mendes,Señorita,80,3.18
35,Watermelon Sugar,Harry Styles,Fine Line,86,2.9
36,Don't Start Now,Dua Lipa,Don't Start Now,76,3.05
37,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,86,4.0
38,Mr. Brightside,The Killers,Hot Fuss,65,3.7
39,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),84,2.63
